date,avg_pick_rate,avg_accuracy_pct,avg_dock_util_pct,total_orders,unique_workers,labor_productivity,pick_rate_target,accuracy_target
2023-01-01,67.88519173261845,94.3237433862434,58.333333333333336,188,18,10.444444444444445,45,97
2023-01-02,67.41177738644343,95.20337301587301,66.66666666666666,193,22,8.772727272727273,45,97
2023-01-03,63.65552178726876,97.795664983165,62.5,179,20,8.95,45,97
2023-01-04,60.85422341211901,96.49290524290524,87.5,199,21,9.476190476190476,45,97
2023-01-05,61.13802906845168,97.36441798941799,79.16666666666666,190,17,11.176470588235293,45,97
2023-01-06,57.82692929834781,97.74621212121212,58.333333333333336,187,19,9.842105263157896,45,97
2023-01-07,67.13312323024805,96.31433381433382,79.16666666666666,174,18,9.666666666666666,45,97
2023-01-08,61.1813295841049,95.93885281385282,75.0,214,18,11.88888888888889,45,97
2023-01-09,64.45262032425778,96.40625,62.5,208,17,12.235294117647058,45,97
2023-01-10,62.313082476668676,94.66435185185186,50.0,181,19,9.526315789473685,45,97
2023-01-11,62.160388728582866,96.24007936507938,75.0,200,18,11.11111111111111,45,97
2023-01-12,66.05781978005359,95.44146825396825,66.66666666666666,183,22,8.318181818181818,45,97
2023-01-13,61.87201716627669,95.08267195767196,79.16666666666666,176,18,9.777777777777779,45,97
2023-01-14,64.98716836495312,96.58700096200096,62.5,227,20,11.35,45,97
2023-01-15,59.44210308760058,97.41402116402116,62.5,177,19,9.31578947368421,45,97
2023-01-16,58.619552357815856,96.16402116402116,58.333333333333336,175,18,9.722222222222221,45,97
2023-01-17,61.577209362964716,94.7130647130647,54.166666666666664,190,20,9.5,45,97
2023-01-18,59.17862863021114,95.80648926237161,70.83333333333334,215,21,10.238095238095237,45,97
2023-01-19,60.53487589786647,94.0838443963444,54.166666666666664,196,20,9.8,45,97
2023-01-20,61.69813622062653,97.97453703703704,75.0,169,20,8.45,45,97
2023-01-21,60.202968763973786,95.57178932178932,70.83333333333334,197,18,10.944444444444445,45,97
2023-01-22,65.09945340263342,97.93139730639732,62.5,183,20,9.15,45,97
2023-01-23,61.84180287905375,94.74537037037038,58.333333333333336,173,18,9.61111111111111,45,97
2023-01-24,65.28061521330115,96.875,58.333333333333336,202,19,10.631578947368421,45,97
2023-01-25,69.41112894541466,92.55787037037037,62.5,189,16,11.8125,45,97
2023-01-26,65.6976103650658,97.85434472934473,58.333333333333336,190,19,10.0,45,97
2023-01-27,58.85321719588702,94.80324074074075,58.333333333333336,174,22,7.909090909090909,45,97
2023-01-28,61.63611006862424,95.78523328523329,70.83333333333334,203,22,9.227272727272727,45,97
2023-01-29,64.55999608241291,94.76175444925445,54.166666666666664,210,18,11.666666666666666,45,97
2023-01-30,64.95263764386596,98.89783249158249,50.0,197,20,9.85,45,97
2023-01-31,60.54499743421115,98.37136243386243,75.0,200,18,11.11111111111111,45,97
2023-02-01,60.147826309594144,95.74555074555074,66.66666666666666,167,22,7.590909090909091,45,97
2023-02-02,62.70386765847102,97.20238095238095,87.5,180,20,9.0,45,97
2023-02-03,60.31831625719977,97.55787037037038,70.83333333333334,191,19,10.052631578947368,45,97
2023-02-04,65.44805732894766,92.77993996743997,54.166666666666664,183,22,8.318181818181818,45,97
2023-02-05,67.19285794232863,98.76488095238095,70.83333333333334,223,18,12.38888888888889,45,97
2023-02-06,64.65710151020893,96.65865384615385,54.166666666666664,186,18,10.333333333333334,45,97
2023-02-07,63.13731104622081,93.4623015873016,54.166666666666664,177,20,8.85,45,97
2023-02-08,62.279636643886256,94.48051948051949,66.66666666666666,189,19,9.947368421052632,45,97
2023-02-09,60.5719873440168,90.75682419432421,70.83333333333334,197,18,10.944444444444445,45,97
2023-02-10,57.32562257810442,94.62466931216932,50.0,173,18,9.61111111111111,45,97
2023-02-11,62.65344463313445,92.8373015873016,66.66666666666666,182,19,9.578947368421053,45,97
2023-02-12,53.88821709343557,97.3526936026936,70.83333333333334,198,17,11.647058823529411,45,97
